#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
2164,B1855+02,*,285.93,24.856,-11,*,35.617,-0.39,-0.05,4.66,2,*,1986,*,*,1.64E+05,
2165,J1857+0300,*,285.904,25.659,*,*,36.274,0.072,0.01,3.94,3.13,*,2017,*,*,4.62E+06,
2166,J1857+0526,*,286.2,28.079,*,*,38.438,1.187,0.25,7.62,-1.1,*,2003,*,*,8.00E+05,
2167,J1857+0809,*,286.52,30.775,*,*,40.839,2.446,0.56,8.58,-1.43,*,2004,*,*,1.68E+06,
2168,B1855+09,0.6,286.863,32.321,-3.27,-5.06,42.29,3.06,0.06,0.81,7.61,*,1986,*,*,4.76E+09,
2169,J1857-1027,*,284.454,12.271,*,*,24.275,-6.063,-0.43,1.66,4.83,*,2001,*,*,5.54E+06,
2170,J1858+02,*,285.979,24.639,*,*,35.46,-0.547,-0.06,3.53,3.54,*,2015,*,*,*,
2171,J1858+0215,*,286.09,24.89,*,*,35.725,-0.493,-0.06,4.22,2.63,*,2002,*,*,2.56E+06,
2172,J1858+0241,*,286.31,25.303,*,*,36.18,-0.43,-0.04,3.04,4.34,*,2004,*,*,3.06E+06,
2173,J1858+0319,*,286.328,25.934,*,*,36.714,-0.094,-0.01,2.86,4.67,*,2017,*,*,1.34E+08,
2174,J1858+0346,*,286.3,26.394,*,*,37.083,0.182,0.02,3.31,4.12,*,2013,*,*,1.99E+06,
2175,J1858-0736,*,285.082,15.057,*,*,26.964,-5.079,-0.9,4.58,-0.5,*,2013,*,*,1.73E+06,
2176,J1858-2216,*,283.465,0.478,*,*,13.581,-11.393,-0.18,0.21,7.62,GRS:3FGL_J1855.1-2243[san16],2016,HE,*,9.94E+09,
2177,J1859+00,*,286.288,23.182,*,*,34.401,-1.587,-0.21,4.34,2.16,*,1996,*,*,*,
2178,J1859+0601,*,286.978,28.592,*,*,39.245,0.903,0.1,4.07,3.51,*,2004,*,*,6.49E+05,
2179,J1859+0603,*,286.966,28.63,*,*,39.27,0.932,0.15,5.7,1.53,*,2017,*,*,5.07E+06,
2180,J1859+07,*,286.892,29.578,*,*,40.022,1.514,0.27,6.62,0.62,*,2018,RRAT[pab+18],*,*,
2181,J1859+1526,*,288.358,37.929,*,*,47.637,5.181,0.37,3.03,5.74,*,1995,*,*,3.77E+06,
2182,J1859+7654,*,72.685,78.721,*,*,108.364,25.911,2.62,5.11,10.2,*,2014,*,*,4.37E+08,
2183,J1900-0051,*,286.386,21.727,*,*,33.238,-2.467,-0.18,2.32,4.97,*,2004,*,*,4.29E+07,
2184,J1900-0134,*,286.207,21.016,*,*,32.553,-2.72,-0.23,2.62,4.4,*,2019,*,*,9.55E+05,
2185,J1900+0227,*,286.759,25.02,*,*,36.17,-0.925,-0.07,2.67,4.85,*,2002,*,*,1.04E+06,
2186,J1900+0308,*,286.901,25.691,*,*,36.798,-0.658,-0.06,2.88,4.66,*,2012,*,*,1.32E+10,
2187,J1900+0438,*,286.924,27.205,*,*,38.067,0.169,0.02,4.31,3,*,2017,*,*,1.53E+06,
2188,J1900+0634,*,287.249,29.111,*,*,39.808,0.995,0.15,5.5,1.9,*,2004,*,*,1.21E+06,
2189,J1900-0933,*,285.321,13.075,*,*,25.413,-6.346,-1.52,5.85,-3.81,*,2012,*,*,9.97E+07,
2190,B1857-26,0.5,283.65,-3.29,*,*,10.342,-13.451,-0.16,0.12,7.83,*,1970,*,*,4.74E+07,
2191,J1900+30,*,291.869,53.184,*,*,61.757,11.802,1.4,5.9,5.33,*,1996,*,*,*,
2192,B1851-79,*,274.788,-56.675,*,*,314.322,-27.065,-1.08,-1.51,7.03,*,1978,*,*,1.09E+07,
2193,J1901+00,*,286.747,22.983,*,*,34.469,-2.048,-0.26,4.19,2.39,*,1996,*,*,*,
2194,J1901+0124,*,286.963,23.947,*,*,35.381,-1.677,-0.19,3.82,3.12,*,2004,*,*,1.56E+06,
2195,B1859+01,*,286.947,24.482,6,*,35.818,-1.367,-0.08,1.89,5.88,*,1985,*,1,1.94E+06,
2196,J1901+0234,*,286.995,25.118,*,*,36.37,-1.048,-0.14,4.46,2.45,*,2015,*,*,6.09E+05,
2197,J1901+0254,*,286.986,25.452,*,*,36.643,-0.855,-0.06,2.57,5.05,*,2004,*,*,4.52E+07,
2198,J1901+0300,*,287.2,25.525,*,*,36.811,-0.974,-0.09,3.18,4.26,*,2015,*,*,2.70E+09,
2199,J1901-0312,*,286.233,19.372,*,*,31.192,-3.646,-0.24,1.95,5.28,*,2004,*,*,2.46E+06,
2200,J1901-0315,*,286.23,19.326,*,*,31.152,-3.669,-0.54,4.36,1.28,*,2006,*,*,4.94E+06,
2201,J1901+0320,*,286.983,25.882,*,*,36.999,-0.613,-0.06,3.54,3.8,*,2004,*,*,1.93E+07,
2202,B1859+03,*,287.139,26.047,*,*,37.213,-0.637,-0.08,4.23,2.93,*,1970,*,*,1.39E+06,
2203,J1901+0355,*,287.189,26.459,*,*,37.58,-0.444,-0.05,4.07,3.21,*,2004,*,*,6.90E+05,
2204,J1901+0413,*,287.133,26.765,*,*,37.806,-0.232,-0.02,3.27,4.28,*,2002,*,*,3.21E+05,
2205,J1901+0435,*,287.282,27.111,*,*,38.167,-0.148,-0.03,6.36,0.41,*,2006,*,*,1.26E+06,
2206,J1901+0459,*,287.267,27.511,*,*,38.49,0.087,0.02,7.51,-0.94,*,2015,*,*,8.86E+05,
2207,J1901+0510,*,287.48,27.68,*,*,38.737,0.025,0,3.7,3.88,*,2004,*,*,3.13E+05,
2208,J1901+0511,*,287.412,27.695,*,*,38.715,0.084,0.01,3.65,3.95,*,2017,*,*,2.88E+06,
2209,J1901+0621,*,287.398,28.877,*,*,39.687,0.756,0.04,1.88,6.24,*,2006,*,*,7.32E+08,
2210,B1859+07,*,287.681,29.775,*,*,40.569,1.056,0.06,2.21,5.92,*,1987,*,1,4.46E+06,
2211,J1901-0906,0.52,285.716,13.496,*,*,25.979,-6.441,-0.22,0.84,6.78,*,1998,*,*,1.72E+07,
2212,J1901+11,*,288.035,33.489,*,*,43.811,2.898,0.7,9.62,-1.53,*,2018,*,*,*,
2213,J1901+1306,*,288.602,35.56,*,*,45.786,3.683,0.16,1.79,6.76,*,1995,*,*,2.21E+08,
2214,J1901-1740,*,284.643,4.997,*,*,18.138,-10.071,-0.16,0.27,7.67,*,2001,*,*,3.77E+07,
2215,J1902+02,*,287.071,24.525,*,*,35.917,-1.436,-0.15,3.55,3.6,*,2015,*,*,*,
2216,J1902+0248,*,287.406,25.311,*,*,36.738,-1.249,-0.13,3.58,3.7,*,2004,*,*,8.06E+06,
2217,J1902-0340,*,286.593,18.867,*,*,30.958,-4.209,-0.3,2.08,5.04,*,2004,*,*,1.21E+07,
2218,B1900+05,*,287.794,28.417,-8,*,39.501,0.21,0.01,2.29,5.72,*,1974,*,*,9.19E+05,
2219,B1900+06,*,287.877,28.746,-4,-7,39.814,0.336,0.04,4.48,3.12,*,1981,*,5,1.38E+06,
2220,J1902+0723,*,287.862,29.877,*,*,40.742,0.984,0.06,2.17,5.98,*,1995,*,*,3.68E+07,
2221,J1902-1036,*,285.754,11.982,*,*,24.716,-7.291,-0.48,1.57,5.09,*,2012,*,*,1.65E+06,
2222,J1902-5105,*,280.991,-28.25,*,*,345.65,-22.379,-0.63,-0.38,7.02,GRS:3FGL_J1902.0-5107[aaa+15],2012,HE,*,3.00E+09,
2223,J1902-70,*,277.698,-46.975,*,*,325.327,-26.264,-0.41,-0.47,7.82,GRS:2FGL_J1902.7-7053,2012,HE,*,*,
2224,B1900+01,*,287.427,24.078,*,*,35.727,-1.955,-0.11,1.93,5.82,*,1973,*,*,2.87E+06,
2225,J1903-0258,*,286.852,19.544,*,*,31.659,-4.038,-0.28,2.12,5.07,*,2006,*,*,7.03E+06,
2226,J1903+0327,0.4,287.563,25.938,*,*,37.336,-1.014,-0.11,3.71,3.63,OPT:[fbw+11],2008,*,*,1.81E+09,
2227,J1903+0415,*,287.643,26.73,*,*,38.032,-0.628,-0.08,4.23,3.1,*,2015,*,*,*,
2228,J1903+0601,*,287.985,28.482,*,*,39.65,0.109,0.01,3.76,3.96,*,2004,*,*,3.09E+05,
2229,B1900-06,*,286.456,15.996,-2,*,28.479,-5.679,-1.23,5.91,-2.39,*,1972,*,*,2.01E+06,
2230,J1903+0654,*,288.272,29.342,*,*,40.502,0.388,0.04,3.84,4,*,2017,*,*,1.18E+06,
2231,J1903-0848,*,286.078,13.746,*,*,26.382,-6.601,-0.3,1.15,6.18,*,2013,*,*,1.06E+07,
2232,J1903+0925,*,288.644,31.843,*,*,42.743,1.543,0.17,4.25,3.9,*,2006,*,*,1.53E+05,
2233,J1903+2225,*,290.969,44.704,*,*,54.363,7.427,0.74,4.64,5.17,*,1995,*,*,2.32E+07,
2234,J1903-7051,*,277.697,-47.848,*,*,324.391,-26.508,-0.42,-0.48,7.82,GRS:3FGL_J1903.6-7052[aaa+15],2015,HE[ckr+15],*,5.46E+09,
2235,J1904+0004,*,287.422,22.542,*,*,34.45,-2.811,-0.31,3.59,3.26,*,1996,*,*,1.87E+07,
2236,J1904-0150,*,287.368,20.624,*,*,32.828,-3.841,-0.35,2.87,4.06,*,2006,*,*,6.76E+06,
2237,J1904+0412,*,288.058,26.635,*,*,38.163,-0.988,-0.08,2.83,4.9,*,2001,*,*,1.02E+10,
2238,J1904+0451,*,288.28,27.279,*,*,38.806,-0.787,-0.06,2.76,5.07,*,2015,*,*,1.69E+10,
2239,J1904+0738,*,288.437,30.067,*,*,41.18,0.68,0.07,4.05,3.87,*,2006,*,*,8.06E+06,
2240,J1904+0800,*,288.472,30.433,*,*,41.498,0.863,0.17,7.27,0.28,*,2003,*,*,2.41E+05,
2241,B1901+10,*,288.796,32.593,*,*,43.433,1.865,0.18,3.78,4.51,*,1975,*,*,1.07E+08,
2242,J1904-1224,*,286.009,10.146,*,*,23.291,-8.49,-1.07,2.84,1.9,*,1998,*,*,1.60E+07,
2243,J1904-1629,*,285.62,6.076,*,*,19.59,-10.332,-4.48,8.25,-14.67,*,2012,*,*,7.66E+06,
2244,B1902-01,*,287.625,21.499,1,9,33.69,-3.551,-0.47,4.23,2.16,*,1985,*,*,3.34E+06,
2245,J1905+0154A,*,287.947,24.338,*,*,36.208,-2.201,-0.56,8.53,-3.15,GC:NGC6749,2007,*,*,*,
2246,J1905+0400,*,288.293,26.409,*,*,38.095,-1.289,-0.02,0.65,7.67,*,2004,*,*,1.22E+10,
2247,J1905+0414,*,288.194,26.652,*,*,38.246,-1.079,-0.17,5.62,1.37,*,2018,RRAT[pab+18],*,*,
2248,J1905+0600,*,288.467,28.419,*,*,39.838,-0.277,-0.04,5.64,1.74,*,2004,*,*,6.28E+06,
2249,J1905+0616,*,288.516,28.67,*,*,40.069,-0.169,-0.01,3.19,4.71,*,2005,*,*,1.16E+05,
2250,B1903+07,*,288.865,29.522,*,*,40.944,0.065,0.01,3.26,4.74,*,1986,*,*,2.08E+06,
2251,J1905+0902,*,288.989,31.411,*,*,42.555,1.056,0.21,7.81,-0.01,*,2006,*,*,9.88E+05,
2252,J1906+0055,*,288.234,23.307,*,*,35.505,-3,-0.23,2.6,4.86,*,2015,*,*,1.33E+10,
2253,J1906+0414,*,288.739,26.598,*,*,38.478,-1.51,-0.27,6.26,0.62,*,2006,*,*,1.44E+06,
2254,J1906+0509,*,288.865,27.51,*,*,39.291,-1.083,-0.06,1.96,6.11,*,2017,*,*,1.21E+06,
2255,B1904+06,*,288.991,29.033,-6,-1.4,40.604,-0.304,-0.04,4.56,3.19,*,1986,*,*,1.98E+06,
2256,J1906+0649,*,288.903,29.19,*,*,40.69,-0.152,-0.01,3.24,4.73,*,2004,*,*,1.34E+08,
2257,J1906+0722,*,289.076,29.727,*,*,41.216,0.031,0,0,8.5,GRS:2FGL_J1906.5+0720[naa+12],2015,NRAD,1,4.92E+04,
2258,J1906+0725,*,288.934,29.778,*,*,41.188,0.162,0.02,4.66,3.18,*,2015,*,*,*,
2259,J1906+0746,*,289.219,30.105,*,*,41.598,0.147,0.02,4.91,2.97,*,2006,*,*,1.13E+05,
2260,J1906+0912,*,289.345,31.546,*,*,42.84,0.884,0.11,5.04,3.07,*,2002,*,*,9.29E+07,
2261,J1906+1854,*,291.138,41.125,*,*,51.501,5.251,0.62,5.24,4.33,*,1995,*,*,7.86E+07,
2262,J1907+0249,*,288.74,25.173,*,*,37.306,-2.323,-0.35,5.3,1.55,*,2004,*,*,4.91E+06,
2263,J1907+0255,*,288.643,25.274,*,*,37.339,-2.192,-0.31,4.84,2.15,*,2015,*,*,4.40E+07,
2264,J1907+0345,*,288.746,26.105,*,*,38.075,-1.796,-0.3,5.84,1.04,*,2004,*,*,4.63E+05,
2265,J1907+05,*,288.858,27.349,*,*,39.156,-1.17,-0.24,7.48,-0.69,*,2015,*,*,*,
2266,J1907+0534,*,289.052,27.913,*,*,39.717,-0.988,-0.2,7.56,-0.61,*,2002,*,*,5.73E+06,
2267,J1907+0602,*,289.266,28.349,*,*,40.182,-0.894,-0.04,1.53,6.69,GRS:2FGL_J1907.9+0602[naa+12]&SNR:G40.5-,2009,HE,*,1.95E+04,
2268,J1907+0631,*,289.1,28.856,*,*,40.515,-0.484,-0.03,2.21,5.92,SNR:G40.5-0.5[lsb+17],2017,*,1,1.13E+04,
2269,J1907+0731,*,289.492,29.82,*,*,41.5,-0.211,-0.02,3.31,4.76,*,2004,*,*,3.13E+05,
2270,J1907+0740,*,289.465,29.975,*,*,41.613,-0.102,-0.01,3.86,4.16,*,2002,*,*,1.36E+07,
2271,J1907+0859,*,289.471,31.309,*,*,42.707,0.661,0.06,3.38,4.83,*,2017,*,*,4.36E+06,
2272,J1907+0918,*,289.618,31.608,*,*,43.024,0.73,0.1,5.61,2.49,*,2000,*,*,3.80E+04,
2273,J1907+0919,*,289.582,31.626,*,*,43.021,0.766,0,0,8.5,SNR:G42.8+0.6(?)&SGR_1900+14,1999,AXP&NRAD,*,8.95E+02,
2274,J1907+1149,*,290.104,34.094,*,*,45.29,1.832,0.24,5.36,3.19,*,2006,*,*,1.41E+05,
2275,B1904+12,*,290.136,35.066,*,*,46.099,2.373,0.44,7.58,1.2,*,1975,*,*,6.73E+06,
2276,J1907-1532,*,286.271,6.959,*,*,20.7,-10.413,-0.63,1.21,5.3,*,2012,*,*,3.25E+06,
2277,B1905+39,*,298.125,61.835,*,*,70.948,14.203,0.6,2.25,7.72,*,1978,*,*,3.62E+07,
2278,J1908+0457,*,289.205,27.27,*,*,39.267,-1.468,-0.29,7.14,-0.23,*,1996,*,*,1.37E+07,
2279,J1908+0500,*,289.162,27.329,*,*,39.293,-1.403,-0.14,3.7,3.98,*,1995,*,*,1.78E+06,
2280,J1908+0734,*,289.604,29.856,*,*,41.585,-0.27,0,0.44,8,*,1995,*,*,4.08E+06,
2281,J1908+0833,*,289.778,30.832,*,*,42.469,0.171,0.03,7.64,0.15,*,2017,*,*,4.08E+06,
2282,J1908+0839,*,289.784,30.94,*,*,42.56,0.229,0.03,5.59,2.41,*,2002,*,*,1.23E+06,
2283,J1908+0909,*,289.808,31.429,*,*,42.972,0.494,0.08,6.07,1.98,*,2002,*,*,1.53E+05,
2284,B1906+09,*,290.072,31.516,*,*,43.173,0.361,0.03,3.8,4.45,*,1975,*,*,1.34E+08,
2285,J1908+2351,*,292.8,45.954,*,*,56.144,7.112,0.67,4.46,5.51,*,2004,*,*,3.52E+08,
2286,B1907+00,*,288.874,22.439,*,*,35.123,-3.977,-0.3,2.5,4.94,*,1973,*,3,2.92E+06,
2287,B1907+02,*,289.283,25.195,1,*,37.605,-2.713,-0.21,2.74,4.94,*,1972,*,*,2.84E+06,
2288,J1909+0616,*,289.847,28.525,*,*,40.62,-1.21,-0.2,6.22,1.25,*,2002,*,*,5.82E+05,
2289,J1909+0641,*,289.807,28.943,*,*,40.941,-0.94,-0.02,0.87,7.5,*,2009,RRAT,*,3.65E+06,
2290,J1909+0749,*,289.886,30.079,*,*,41.909,-0.34,-0.05,5.54,2.33,*,2013,*,*,2.47E+04,
2291,J1909+0912,*,290.164,31.449,*,*,43.164,0.258,0.03,5.21,2.95,*,2002,*,*,9.87E+04,
2292,B1907+10,*,290.606,33.233,-5,8,44.832,0.992,0.08,3.38,5.1,*,1973,*,2,1.70E+06,
2293,J1909+1148,*,290.656,34.018,*,*,45.494,1.416,0.18,5.08,3.5,*,2015,*,*,9.81E+07,
2294,J1909+1450,*,291.178,37.021,*,*,48.181,2.827,0.22,3.28,5.56,*,1995,*,*,7.21E+07,
2295,J1909+1859,*,291.951,41.114,*,*,51.852,4.749,0.2,1.92,6.99,*,1995,*,*,8.86E+07,
2296,J1909+21,*,292.466,43.143,*,*,53.722,5.639,0.25,2.08,6.97,GRS:P7R4_J1909+2102(?)[cck+16],2016,HE,*,*,
2297,J1909-3744,0.81,284.221,-15.155,*,*,359.731,-19.596,-0.38,-0.01,7.43,*,2003,*,*,3.33E+09,
2298,J1910-0112,*,288.869,21.094,*,*,34.009,-4.736,-0.67,4.52,1.8,*,2006,*,*,1.21E+08,
2299,J1910+0225,*,289.357,24.691,*,*,37.229,-3.057,-0.42,4.79,2.19,*,2004,*,*,2.04E+07,
2300,B1907-03,*,288.662,19.14,*,*,32.28,-5.681,-1.43,7.67,-3.65,*,1978,*,3,3.65E+06,
2301,B1907+03,*,289.58,26.23,*,*,38.606,-2.339,-0.12,1.78,6.27,*,1975,*,1,8.26E+06,
2302,J1910+0517,*,289.913,27.526,*,*,39.838,-1.835,-0.35,7.06,0.04,*,2017,*,*,6.68E+06,
2303,J1910+0534,*,289.902,27.8,*,*,40.056,-1.668,-0.62,13.68,-7.77,*,2002,*,*,3.73E+06,
2304,J1910+0714,*,290.125,29.456,*,*,41.52,-0.87,-0.06,2.44,5.75,*,1995,*,*,7.02E+06,
2305,J1910+0728,*,290.179,29.692,*,*,41.74,-0.772,-0.08,4.15,3.85,*,2004,*,*,6.21E+05,
2306,J1910+1027,*,290.561,32.649,*,*,44.335,0.682,0.2,11.7,-3.47,*,2015,*,*,*,
2307,B1907+12,*,290.987,34.697,*,*,46.205,1.591,0.23,5.87,2.87,*,1975,*,*,2.78E+06,
2308,J1910+1256,1.4,291.041,35.107,-0.79,-7.25,46.564,1.795,0.04,0.96,7.59,*,2004,*,*,8.16E+09,
2309,J1910+56,*,319.036,77.322,*,*,87.575,19.955,0.51,1.39,8.44,*,2019,*,*,*,
2310,J1910-5959A,*,281.154,-37.227,*,*,336.525,-25.73,-1.98,-1.63,4.74,GC:NGC6752&XRS:[fhc+14],2001,*,*,1.76E+10,
2311,J1910-5959B,*,281.021,-37.22,*,*,336.494,-25.628,-0.71,-0.59,7.15,GC:NGC6752&XRS:[bgh+06&fhc+14],2002,*,*,*,
2312,J1910-5959C,*,281.05,-37.257,*,*,336.464,-25.662,-0.71,-0.59,7.15,GC:NGC6752&XRS:[bgh+06&fhc+14],2002,*,*,3.87E+10,
2313,J1910-5959D,*,281.022,-37.222,*,*,336.493,-25.629,-0.71,-0.59,7.15,GC:NGC6752&XRS:[bgh+06&fhc+14],2002,*,*,1.48E+08,
2314,J1910-5959E,*,281.021,-37.221,*,*,336.494,-25.628,-0.71,-0.59,7.15,GC:NGC6752&XRS:[fhc+14],2002,*,*,*,
2315,J1911+00,*,289.536,22.847,*,*,35.808,-4.247,-0.3,2.36,5.22,*,2006,RRAT,*,*,
2316,B1908+00A,*,289.431,23.283,*,*,36.111,-3.918,-0.65,5.59,0.84,GC:NGC6760&OPT:[bvvh03],1993,*,*,*,
2317,J1911+0101B,*,289.437,23.277,*,*,36.109,-3.926,-0.65,5.59,0.84,GC:NGC6760,2005,*,*,*,
2318,J1911+09,*,290.606,31.178,*,*,43.163,-0.207,-0.02,4.26,3.96,*,2015,*,*,*,
2319,J1911+10,*,290.774,32.168,*,*,44.05,0.256,0.04,5.62,2.69,*,2015,*,*,*,
2320,J1911-1114,*,287.946,11.088,*,*,25.137,-9.579,-0.18,0.45,7.54,XRS:[pb15],1996,*,*,4.12E+09,
2321,J1911+1347,0.4,291.717,35.886,-3.35,-3.07,47.518,1.809,0.04,1,7.58,*,2004,*,*,4.33E+09,
2322,J1911+1758,*,292.546,40.022,*,*,51.238,3.738,0.13,1.53,7.28,*,1995,*,*,5.57E+08,
2323,B1910+10,*,291.39,32.71,*,*,44.794,0.152,0.01,2.92,5.55,*,1975,*,*,4.11E+05,
2324,B1910+20,0.09,293.477,43.045,*,*,54.086,4.989,0.29,2.72,6.53,*,1973,*,*,3.48E+06,
2325,J1912+2525,*,294.428,47.335,*,*,57.933,7.042,0.26,1.81,7.37,*,1995,*,*,4.38E+07,
2326,B1911-04,*,289.343,17.527,*,*,31.307,-7.124,-0.5,2.08,5.07,*,1969,*,*,3.22E+06,
2327,J1913+0446,*,290.722,26.889,*,*,39.736,-2.79,-0.21,2.77,5.17,*,2003,*,1,9.18E+04,
2328,J1913+0617,*,290.728,28.419,*,*,40.983,-1.903,-0.19,3.78,4.15,*,2015,*,*,*,
2329,J1913+0657,*,290.991,29.066,*,*,41.644,-1.712,-0.15,3.37,4.71,*,2017,*,*,7.04E+06,
2330,J1913+0832,*,291.101,30.647,*,*,42.98,-0.862,-0.12,5.59,2.5,*,2002,*,1,4.66E+05,
2331,J1913+0904,*,291.291,31.173,*,*,43.502,-0.684,-0.04,2.06,6.32,GRS:[hsg+14],2006,HE,*,1.47E+05,
2332,B1911+09,*,291.534,31.681,*,*,44.034,-0.553,-0.04,3.02,5.38,*,1975,*,*,4.56E+07,
2333,J1913+1000,*,291.366,32.095,*,*,44.285,-0.194,-0.03,5.36,3.01,*,2004,*,*,7.92E+05,
2334,J1913+1011,*,291.48,32.272,*,*,44.485,-0.167,-0.01,3.23,5.21,GRS:[sbc+19],2002,HE[sbc+19],1,1.69E+05,
2335,J1913+1050,*,291.667,32.907,*,*,45.09,0.081,0.01,3.86,4.65,*,2017,*,*,1.54E+07,
2336,J1913+1102,*,291.671,33.102,*,*,45.25,0.194,0.02,5.07,3.47,*,2016,*,*,2.69E+09,
2337,J1913+1103,*,291.533,33.135,*,*,45.208,0.306,0.06,8.62,-0.05,*,2015,*,*,*,
2338,J1913+1145,*,291.874,33.809,*,*,45.92,0.476,0.11,9.89,-1.08,*,2002,*,*,9.67E+05,
2339,J1913+1330,*,292.072,35.555,*,*,47.421,1.381,0.15,4.55,4.32,*,2006,RRAT,*,1.69E+06,
2340,B1911+13,0.19,292.199,36.05,*,*,47.881,1.592,0.15,3.9,4.97,*,1974,*,*,1.03E+07,
2341,J1913+3732,*,299.142,59.132,*,*,69.097,12.128,1.59,6.92,5.86,*,2013,*,*,9.78E+06,
2342,J1914+0219,*,290.493,24.456,*,*,37.633,-4.037,-0.99,8.6,-2.65,*,2006,*,*,7.12E+06,
2343,J1914+0631,*,291.129,28.62,*,*,41.352,-2.071,-0.06,1.18,7.16,*,2004,*,*,3.31E+08,
2344,J1914+0659,*,291.211,29.102,*,*,41.785,-1.846,-0.27,5.64,2.19,*,2015,*,*,9.46E+09,
2345,J1914+08,*,291.505,30.813,*,*,43.319,-1.045,-0.14,5.38,2.8,*,2018,*,*,*,
2346,B1911+11,*,291.929,33.406,*,*,45.623,0.199,0.01,2.24,6.3,*,1975,*,*,1.45E+07,
2347,J1915+0227,*,290.687,24.565,*,*,37.825,-4.117,-0.74,6.29,0.4,*,2006,*,*,1.68E+07,
2348,J1915+0738,*,291.631,29.677,*,*,42.466,-1.803,-0.04,0.94,7.47,*,1995,*,*,7.39E+06,
2349,J1915+0752,*,291.562,29.915,*,*,42.623,-1.614,-0.1,2.42,5.87,*,1996,*,*,2.35E+08,
2350,J1915+0838,*,291.753,30.68,*,*,43.337,-1.295,-0.25,7.44,0.62,*,2004,*,*,3.46E+06,
2351,B1913+10,*,292.096,32.165,*,*,44.707,-0.651,-0.08,4.92,3.53,*,1975,*,1,4.20E+05,
2352,J1915-11,*,288.699,10.73,*,*,25.244,-10.394,-0.99,2.31,3.61,*,2015,RRAT,*,*,
2353,J1915+1144,*,292.238,33.736,*,*,46.041,0.189,0.02,5.2,3.49,*,2015,*,*,*,
2354,J1915+1149,*,292.253,33.819,*,*,46.115,0.228,0.06,10.21,-1.32,*,2015,*,*,*,
2355,J1915+1410,*,292.879,36.131,*,*,48.275,1.2,0.15,5.32,3.76,*,2006,*,*,9.63E+07,
2356,B1913+16,*,293.232,38.038,*,*,49.968,2.122,0.19,4.02,5.13,*,1975,*,1,1.09E+08,
2357,B1913+167,*,293.329,38.712,*,*,50.552,2.468,0.09,1.7,7.1,*,1975,*,*,6.32E+07,
2358,J1916+0748,*,292.066,29.779,*,*,42.772,-2.047,-0.42,7.99,-0.14,*,1996,*,*,8.02E+05,
2359,J1916+0844,*,292.076,30.724,*,*,43.538,-1.493,-0.29,7.58,0.52,*,2004,*,*,2.40E+06,
2360,J1916+0852,*,292.127,30.86,*,*,43.674,-1.448,-0.24,6.48,1.71,*,2004,*,*,2.64E+06,
2361,B1914+09,*,292.339,31.824,-9,-0.7,44.556,-1.019,-0.03,1.33,7.15,*,1974,*,*,1.70E+06,
2362,J1916+1023,*,292.457,32.342,*,*,45.031,-0.79,-0.11,5.48,3.02,*,2004,*,*,3.77E+07,
2363,B1913+105,*,292.36,32.487,*,*,45.099,-0.638,-0.09,5.77,2.75,*,1991,*,*,2.93E+08,
2364,J1916+1225,*,292.758,34.375,*,*,46.811,0.225,0.03,4.73,4.06,*,2013,*,*,1.54E+05,
2365,B1914+13,*,293.098,35.123,*,*,47.576,0.451,0.04,3.32,5.46,*,1974,*,*,1.22E+06,
2366,J1916-2939,*,286.691,-7.321,*,*,8.245,-18.07,-0.5,0.22,6.99,*,2019,*,*,1.59E+07,
2367,J1916+32,*,297.929,54.01,*,*,64.621,9.417,1.3,7.06,5.15,*,2019,*,*,*,
2368,J1917+0834,*,292.474,30.516,*,*,43.575,-1.892,-0.04,0.85,7.61,*,1999,*,*,1.93E+06,
2369,B1915+13,0.17,293.436,35.772,*,*,48.26,0.624,0.06,4.39,4.58,*,1971,*,*,4.28E+05,
2370,J1917+1737,*,294.141,39.457,*,*,51.528,2.418,0.23,4.33,5.06,*,2013,*,*,1.64E+07,
2371,B1915+22,*,295.378,44.122,*,*,55.785,4.553,0.39,4.09,5.72,*,1986,*,*,2.36E+06,
2372,J1918-0642,0.9,290.315,15.351,-7.91,-4.92,30.027,-9.123,-0.18,0.55,7.55,*,2001,*,*,4.72E+09,
2373,J1918-1052,*,289.725,11.221,*,*,26.226,-10.963,-0.56,1.29,5.88,*,2013,*,*,1.46E+07,
2374,J1918+1310,*,293.389,35.036,*,*,47.65,0.209,0.02,4.66,4.26,*,2015,*,*,*,
2375,B1916+14,*,293.826,36.584,*,*,49.096,0.866,0.02,0.98,7.65,*,1974,HE[zkgl09],*,8.81E+04,
2376,J1918+1541,*,293.942,37.517,*,*,49.894,1.36,0.02,0.61,7.98,*,1995,*,*,2.31E+06,
2377,B1917+00,0.17,291.654,22.312,*,*,36.506,-6.151,-0.63,3.48,3.8,*,1972,*,1,2.63E+06,
2378,J1919+0134,*,291.818,23.525,*,*,37.582,-5.563,-1.39,8.72,-2.83,*,2001,*,*,4.31E+07,
2379,J1919+1314,*,293.859,35.05,*,*,47.895,-0.088,-0.02,9.67,-0.24,*,2013,*,*,2.39E+06,
2380,J1919+1645,*,294.481,38.529,*,*,50.954,1.642,0.16,4.2,5.09,*,2013,*,*,4.13E+07,
