#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
129,J0335+6623,*,70.411,45.383,*,*,138.383,8.588,0.29,1.25,9.91,*,2014,*,*,5.80E+06,
130,J0337+1715,0.73,56.23,-2.113,*,*,169.99,-30.039,-0.65,0.2,9.61,OPT:[rsa+14]&XRS:[ska+16],2014,*,*,2.45E+09,
131,J0340+4130,0.7,62.614,21.334,-1.33,-3.1,153.783,-11.022,-0.31,0.69,9.91,GRS:2FGL_J0340.4+4131[naa+12],2011,HE,*,7.42E+09,
132,J0341+5711,*,67.42,36.437,*,*,144.371,1.546,0.05,1.18,10.15,*,2008,*,*,*,
133,J0343-3000,*,43.35,-48.07,*,*,227.758,-52.338,-1.26,-0.72,9.15,*,2006,*,*,7.22E+08,
134,B0339+53,*,66.472,32.533,*,*,147.017,-1.428,-0.04,0.93,9.93,*,1978,*,*,2.28E+06,
135,J0348+0432,*,55.97,-15.11,*,*,183.337,-36.774,-1.26,-0.1,10.18,*,2013,*,*,2.57E+09,
136,J0349+23,*,60.441,3.52,*,*,167.422,-23.391,-1.5,0.76,11.89,*,2019,*,*,*,
137,J0357+3205,*,63.96,11.37,*,*,162.76,-16.006,-0.23,0.24,9.27,GRS:2FGL_J0357.8+3205[naa+12],2009,NRAD,*,5.40E+05,
138,B0353+52,0.28,68.795,31.403,*,*,149.099,-0.522,-0.03,1.83,11.56,*,1985,*,*,6.55E+06,
139,J0358+4155,*,66.154,20.974,*,*,156.112,-8.62,-0.22,0.59,9.84,*,2014,*,*,2.46E+07,
140,B0355+54,0.91,69.442,32.921,*,*,148.19,0.811,0.01,0.53,9.35,XRS:PWN[mvk+06],1972,HE[to07],6,5.64E+05,
141,J0358+6627,*,73.497,44.754,*,*,140.128,10.064,0.33,1.19,9.92,*,2014,*,*,1.33E+08,
142,J0359+5414,*,69.541,32.93,*,*,148.231,0.883,0,0,8.5,GRS:3FGL_J0359.5+5413[aaa+15]&XRS:[wcp+1,2017,NRAD,*,7.52E+04,
143,B0403-76,*,301.213,-76.826,*,*,290.313,-35.907,-0.59,-0.77,8.22,*,1978,*,*,5.60E+06,
144,B0402+61,0.22,72.895,39.88,*,*,144.025,7.046,0.56,2.65,12.15,*,1978,*,1,1.69E+06,
